id,type_id,type_title,difficulty,answer_option,explanation
T11-04,T11,색상별 크기 짝맞추기,4,3,"세 색은 각각 정확히 두 번 등장하며, 한 번은 큰 원이고 한 번은 작은 원입니다. 따라서 빠진 것은 초록색 큰 원입니다."
T11-05,T11,색상별 크기 짝맞추기,5,6,"세 색은 각각 정확히 두 번 등장하며, 한 번은 큰 원이고 한 번은 작은 원입니다. 따라서 빠진 것은 빨강색 큰 원입니다."
T12-01,T12,입체선+평면무늬 중첩,1,3,"중복된 외곽선은 한 번만 보이지만, 입체를 나타내는 모든 모서리와 평면무늬의 모든 내부선은 그대로 남습니다."
T12-02,T12,입체선+평면무늬 중첩,2,2,"중복된 외곽선은 한 번만 보이지만, 입체를 나타내는 모든 모서리와 평면무늬의 모든 내부선은 그대로 남습니다."
T12-03,T12,입체선+평면무늬 중첩,3,1,"중복된 외곽선은 한 번만 보이지만, 입체를 나타내는 모든 모서리와 평면무늬의 모든 내부선은 그대로 남습니다."
T12-04,T12,입체선+평면무늬 중첩,4,3,"중복된 외곽선은 한 번만 보이지만, 입체를 나타내는 모든 모서리와 평면무늬의 모든 내부선은 그대로 남습니다."
T12-05,T12,입체선+평면무늬 중첩,5,1,"중복된 외곽선은 한 번만 보이지만, 입체를 나타내는 모든 모서리와 평면무늬의 모든 내부선은 그대로 남습니다."
T13-01,T13,색상순서+도형순서 이중수열,1,2,"도형은 각 행에서 한 칸씩 이동하며 반복되고, 색은 빨강→주황→노랑→초록→파랑→남색→보라 순서에서 규칙적으로 이동합니다. 빈칸은 파랑색 사각형입니다."
T13-02,T13,색상순서+도형순서 이중수열,2,5,"도형은 각 행에서 한 칸씩 이동하며 반복되고, 색은 빨강→주황→노랑→초록→파랑→남색→보라 순서에서 규칙적으로 이동합니다. 빈칸은 보라색 사각형입니다."
T13-03,T13,색상순서+도형순서 이중수열,3,2,"도형은 각 행에서 한 칸씩 이동하며 반복되고, 색은 빨강→주황→노랑→초록→파랑→남색→보라 순서에서 규칙적으로 이동합니다. 빈칸은 파랑색 삼각형입니다."
T13-04,T13,색상순서+도형순서 이중수열,4,4,"도형은 각 행에서 한 칸씩 이동하며 반복되고, 색은 빨강→주황→노랑→초록→파랑→남색→보라 순서에서 규칙적으로 이동합니다. 빈칸은 노랑색 사각형입니다."
T13-05,T13,색상순서+도형순서 이중수열,5,1,"도형은 각 행에서 한 칸씩 이동하며 반복되고, 색은 빨강→주황→노랑→초록→파랑→남색→보라 순서에서 규칙적으로 이동합니다. 빈칸은 빨강색 원입니다."
T14-01,T14,개수 주기+점 위치 주기,1,4,"삼각형 수는 1→2→3의 3주기이고, 점은 왼쪽 바깥→왼쪽 안→오른쪽 바깥→가운데 안의 4주기입니다. 두 주기를 빈칸 위치에 각각 적용하면 삼각형 1개와 점 위치 LI가 됩니다."
T14-02,T14,개수 주기+점 위치 주기,2,5,"삼각형 수는 1→2→3의 3주기이고, 점은 왼쪽 바깥→왼쪽 안→오른쪽 바깥→가운데 안의 4주기입니다. 두 주기를 빈칸 위치에 각각 적용하면 삼각형 3개와 점 위치 RO가 됩니다."
T14-03,T14,개수 주기+점 위치 주기,3,2,"삼각형 수는 1→2→3의 3주기이고, 점은 왼쪽 바깥→왼쪽 안→오른쪽 바깥→가운데 안의 4주기입니다. 두 주기를 빈칸 위치에 각각 적용하면 삼각형 1개와 점 위치 RO가 됩니다."
T14-04,T14,개수 주기+점 위치 주기,4,6,"삼각형 수는 1→2→3의 3주기이고, 점은 왼쪽 바깥→왼쪽 안→오른쪽 바깥→가운데 안의 4주기입니다. 두 주기를 빈칸 위치에 각각 적용하면 삼각형 2개와 점 위치 RO가 됩니다."
T14-05,T14,개수 주기+점 위치 주기,5,3,"삼각형 수는 1→2→3의 3주기이고, 점은 왼쪽 바깥→왼쪽 안→오른쪽 바깥→가운데 안의 4주기입니다. 두 주기를 빈칸 위치에 각각 적용하면 삼각형 3개와 점 위치 LI가 됩니다."
T15-01,T15,3×3 중첩 행렬,1,3,"오른쪽 칸은 같은 행의 왼쪽 두 칸의 합이고, 아래쪽 칸은 같은 열의 위쪽 두 칸의 합입니다. 따라서 오른쪽 아래에는 네 기본 칸의 모든 요소가 들어갑니다."
T15-02,T15,3×3 중첩 행렬,2,1,"오른쪽 칸은 같은 행의 왼쪽 두 칸의 합이고, 아래쪽 칸은 같은 열의 위쪽 두 칸의 합입니다. 따라서 오른쪽 아래에는 네 기본 칸의 모든 요소가 들어갑니다."
T15-03,T15,3×3 중첩 행렬,3,2,"오른쪽 칸은 같은 행의 왼쪽 두 칸의 합이고, 아래쪽 칸은 같은 열의 위쪽 두 칸의 합입니다. 따라서 오른쪽 아래에는 네 기본 칸의 모든 요소가 들어갑니다."
T15-04,T15,3×3 중첩 행렬,4,1,"오른쪽 칸은 같은 행의 왼쪽 두 칸의 합이고, 아래쪽 칸은 같은 열의 위쪽 두 칸의 합입니다. 따라서 오른쪽 아래에는 네 기본 칸의 모든 요소가 들어갑니다."
T15-05,T15,3×3 중첩 행렬,5,6,"오른쪽 칸은 같은 행의 왼쪽 두 칸의 합이고, 아래쪽 칸은 같은 열의 위쪽 두 칸의 합입니다. 따라서 오른쪽 아래에는 네 기본 칸의 모든 요소가 들어갑니다."
T16-01,T16,마방진·일정합,1,3,완성된 배열의 각 행과 열의 합은 15입니다. 빈칸이 있는 행 또는 열의 나머지 두 수를 15에서 빼면 2가 됩니다.
T16-02,T16,마방진·일정합,2,4,완성된 배열의 각 행과 열의 합은 30입니다. 빈칸이 있는 행 또는 열의 나머지 두 수를 30에서 빼면 6가 됩니다.
T16-03,T16,마방진·일정합,3,8,완성된 배열의 각 행과 열의 합은 30입니다. 빈칸이 있는 행 또는 열의 나머지 두 수를 30에서 빼면 8가 됩니다.
T16-04,T16,마방진·일정합,4,8,완성된 배열의 각 행과 열의 합은 39입니다. 빈칸이 있는 행 또는 열의 나머지 두 수를 39에서 빼면 7가 됩니다.
T16-05,T16,마방진·일정합,5,7,완성된 배열의 각 행과 열의 합은 51입니다. 빈칸이 있는 행 또는 열의 나머지 두 수를 51에서 빼면 23가 됩니다.
T17-01,T17,행별 산술 관계,1,4,첫째 수에서 둘째 수를 빼면 셋째 수가 됩니다. 따라서 빈칸은 8입니다.
T17-02,T17,행별 산술 관계,2,3,첫째 수와 둘째 수를 더하면 셋째 수가 됩니다. 따라서 빈칸은 8입니다.
T17-03,T17,행별 산술 관계,3,3,첫째 수의 2배에서 둘째 수를 빼면 셋째 수가 됩니다. 따라서 빈칸은 4입니다.
T17-04,T17,행별 산술 관계,4,6,첫째 수와 둘째 수의 평균이 셋째 수가 됩니다. 따라서 빈칸은 5입니다.
T17-05,T17,행별 산술 관계,5,6,첫째 수에서 둘째 수의 2배를 빼면 셋째 수가 됩니다. 따라서 빈칸은 6입니다.
T18-01,T18,저울 등가관계,1,6,파란 삼각형 하나는 노란 사각형 두 개와 같습니다.
T18-02,T18,저울 등가관계,2,1,빨간 원 하나가 사각형 하나와 삼각형 하나이므로 두 원은 각각 두 개씩입니다.
T18-03,T18,저울 등가관계,3,3,첫 식에서 원 하나를 삼각형 하나로 바꾸면 오각형+삼각형=삼각형 3개이므로 오각형=삼각형 2개입니다.
T18-04,T18,저울 등가관계,4,2,마름모는 원+사각형이고 사각형은 삼각형 두 개입니다.
T18-05,T18,저울 등가관계,5,1,사각형과 삼각형의 무게가 같으므로 첫 식의 사각형을 삼각형으로 바꿀 수 있습니다.
T19-01,T19,헷갈리기 쉬운 세계 수도,1,4,호주의 수도는 캔버라입니다. 가장 큰 도시나 가장 유명한 도시와 수도를 구분해야 합니다.
T19-02,T19,헷갈리기 쉬운 세계 수도,2,5,캐나다의 수도는 오타와입니다. 가장 큰 도시나 가장 유명한 도시와 수도를 구분해야 합니다.
T19-03,T19,헷갈리기 쉬운 세계 수도,3,8,튀르키예의 수도는 앙카라입니다. 가장 큰 도시나 가장 유명한 도시와 수도를 구분해야 합니다.
T19-04,T19,헷갈리기 쉬운 세계 수도,4,1,모로코의 수도는 라바트입니다. 가장 큰 도시나 가장 유명한 도시와 수도를 구분해야 합니다.
T19-05,T19,헷갈리기 쉬운 세계 수도,5,6,탄자니아의 수도는 도도마입니다. 가장 큰 도시나 가장 유명한 도시와 수도를 구분해야 합니다.
T20-01,T20,나이 차·비율 방정식,1,8,"두 사람의 나이 차는 항상 20세입니다. 민수의 나이를 x라 두면 지훈는 x+20이고, x+20=2x를 풀면 x=20입니다."
T20-02,T20,나이 차·비율 방정식,2,8,"두 사람의 나이 차는 항상 24세입니다. 서윤의 나이를 x라 두면 은지는 x+24이고, x+24=2.5x를 풀면 x=16입니다."
T20-03,T20,나이 차·비율 방정식,3,1,"두 사람의 나이 차는 항상 30세입니다. 도윤의 나이를 x라 두면 성호는 x+30이고, x+30=1.5x를 풀면 x=60입니다."
T20-04,T20,나이 차·비율 방정식,4,8,"두 사람의 나이 차는 항상 18세입니다. 하린의 나이를 x라 두면 수아는 x+18이고, x+18=2x를 풀면 x=18입니다."
T20-05,T20,나이 차·비율 방정식,5,7,"두 사람의 나이 차는 항상 36세입니다. 준호의 나이를 x라 두면 태현는 x+36이고, x+36=2.5x를 풀면 x=24입니다."
T21-01,T21,격자 속 모든 직사각형,1,5,"가로 경계선 2개 중 2개, 세로 경계선 5개 중 2개를 고르면 직사각형 하나가 정해집니다. C(2,2)×C(5,2)=10입니다."
T21-02,T21,격자 속 모든 직사각형,2,5,"가로 경계선 3개 중 2개, 세로 경계선 5개 중 2개를 고르면 직사각형 하나가 정해집니다. C(3,2)×C(5,2)=30입니다."
T21-03,T21,격자 속 모든 직사각형,3,5,"가로 경계선 4개 중 2개, 세로 경계선 4개 중 2개를 고르면 직사각형 하나가 정해집니다. C(4,2)×C(4,2)=36입니다."
T21-04,T21,격자 속 모든 직사각형,4,1,"가로 경계선 4개 중 2개, 세로 경계선 5개 중 2개를 고르면 직사각형 하나가 정해집니다. C(4,2)×C(5,2)=60입니다."
T21-05,T21,격자 속 모든 직사각형,5,5,"가로 경계선 5개 중 2개, 세로 경계선 6개 중 2개를 고르면 직사각형 하나가 정해집니다. C(5,2)×C(6,2)=150입니다."
T22-01,T22,목표 다각형 빠르게 세기,1,2,행별로 6각형만 표시해 소계를 낸 뒤 합치면 총 8개입니다. 방향이나 크기가 달라도 변의 수가 6개면 포함합니다.
T22-02,T22,목표 다각형 빠르게 세기,2,8,행별로 5각형만 표시해 소계를 낸 뒤 합치면 총 7개입니다. 방향이나 크기가 달라도 변의 수가 5개면 포함합니다.
T22-03,T22,목표 다각형 빠르게 세기,3,5,행별로 7각형만 표시해 소계를 낸 뒤 합치면 총 6개입니다. 방향이나 크기가 달라도 변의 수가 7개면 포함합니다.
T22-04,T22,목표 다각형 빠르게 세기,4,8,행별로 8각형만 표시해 소계를 낸 뒤 합치면 총 9개입니다. 방향이나 크기가 달라도 변의 수가 8개면 포함합니다.
T22-05,T22,목표 다각형 빠르게 세기,5,3,행별로 4각형만 표시해 소계를 낸 뒤 합치면 총 5개입니다. 방향이나 크기가 달라도 변의 수가 4개면 포함합니다.
T23-01,T23,스트룹: 실제 글자색 읽기,1,1,각 단어의 의미를 읽지 말고 글자 표면의 잉크색만 차례로 기록합니다. 실제 색 순서는 파랑 → 보라 → 검정 → 빨강 → 초록입니다.
T23-02,T23,스트룹: 실제 글자색 읽기,2,6,각 단어의 의미를 읽지 말고 글자 표면의 잉크색만 차례로 기록합니다. 실제 색 순서는 초록 → 검정 → 주황 → 파랑 → 빨강입니다.
T23-03,T23,스트룹: 실제 글자색 읽기,3,7,각 단어의 의미를 읽지 말고 글자 표면의 잉크색만 차례로 기록합니다. 실제 색 순서는 노랑 → 초록 → 빨강 → 보라 → 검정입니다.
T23-04,T23,스트룹: 실제 글자색 읽기,4,5,각 단어의 의미를 읽지 말고 글자 표면의 잉크색만 차례로 기록합니다. 실제 색 순서는 보라 → 빨강 → 초록 → 주황 → 파랑입니다.
T23-05,T23,스트룹: 실제 글자색 읽기,5,3,각 단어의 의미를 읽지 말고 글자 표면의 잉크색만 차례로 기록합니다. 실제 색 순서는 초록 → 노랑 → 보라 → 검정 → 빨강입니다.
T24-01,T24,정육면체 전개도 판별,1,6,"정답 전개도는 접는 과정에서 두 칸이 동일한 면으로 겹치고, 반대편 한 면은 비게 됩니다. 나머지 다섯 전개도는 여섯 칸이 서로 다른 여섯 면을 차지합니다."
T24-02,T24,정육면체 전개도 판별,2,4,"정답 전개도는 접는 과정에서 두 칸이 동일한 면으로 겹치고, 반대편 한 면은 비게 됩니다. 나머지 다섯 전개도는 여섯 칸이 서로 다른 여섯 면을 차지합니다."
T24-03,T24,정육면체 전개도 판별,3,2,"정답 전개도는 접는 과정에서 두 칸이 동일한 면으로 겹치고, 반대편 한 면은 비게 됩니다. 나머지 다섯 전개도는 여섯 칸이 서로 다른 여섯 면을 차지합니다."
T24-04,T24,정육면체 전개도 판별,4,3,"정답 전개도는 접는 과정에서 두 칸이 동일한 면으로 겹치고, 반대편 한 면은 비게 됩니다. 나머지 다섯 전개도는 여섯 칸이 서로 다른 여섯 면을 차지합니다."
T24-05,T24,정육면체 전개도 판별,5,4,"정답 전개도는 접는 과정에서 두 칸이 동일한 면으로 겹치고, 반대편 한 면은 비게 됩니다. 나머지 다섯 전개도는 여섯 칸이 서로 다른 여섯 면을 차지합니다."
T25-01,T25,부채꼴 삼각형 전체 세기,1,6,"모든 삼각형은 위 꼭짓점과 밑변 위의 서로 다른 두 점으로 결정됩니다. 밑변의 점 4개 중 2개를 고르므로 C(4,2)=6입니다."
T25-02,T25,부채꼴 삼각형 전체 세기,2,5,"모든 삼각형은 위 꼭짓점과 밑변 위의 서로 다른 두 점으로 결정됩니다. 밑변의 점 5개 중 2개를 고르므로 C(5,2)=10입니다."
T25-03,T25,부채꼴 삼각형 전체 세기,3,3,"모든 삼각형은 위 꼭짓점과 밑변 위의 서로 다른 두 점으로 결정됩니다. 밑변의 점 6개 중 2개를 고르므로 C(6,2)=15입니다."
T25-04,T25,부채꼴 삼각형 전체 세기,4,6,"모든 삼각형은 위 꼭짓점과 밑변 위의 서로 다른 두 점으로 결정됩니다. 밑변의 점 7개 중 2개를 고르므로 C(7,2)=21입니다."
T25-05,T25,부채꼴 삼각형 전체 세기,5,4,"모든 삼각형은 위 꼭짓점과 밑변 위의 서로 다른 두 점으로 결정됩니다. 밑변의 점 8개 중 2개를 고르므로 C(8,2)=28입니다."
